twotheta,intensity
36.9306,1481
36.951,1461
36.9715,1485
36.992,1503
37.0124,1635
37.0329,1727
37.0534,1694
37.0738,1782
37.0943,1810
37.1148,1840
37.1352,1905
37.1557,2031
37.1761,2004
37.1966,1971
37.2171,1891
37.2375,1849
37.258,1860
37.2785,1735
37.2989,1722
37.3194,1596
37.3399,1546
37.3603,1574
37.3808,1480
37.4013,1376
37.4217,1371
37.4422,1404
37.4626,1290
37.4831,1285
37.5036,1259
37.524,1267
37.5445,1214
37.565,1187
37.5854,1200
37.6059,1213
37.6264,1173
37.6468,1208
37.6673,1187
37.6877,1142
37.7082,1185
37.7287,1222
37.7491,1152
37.7696,1244
37.7901,1155
37.8105,1080
37.831,1152
37.8515,1186
37.8719,1125
37.8924,1141
37.9129,1088
37.9333,1137
37.9538,1099
37.9742,1171
37.9947,1134
38.0152,1101
38.0356,1106
38.0561,1154
38.0766,1117
38.097,1079
38.1175,1062
38.138,1159
38.1584,1095
38.1789,1109
38.1993,1108
38.2198,1078
38.2403,1124
38.2607,1079
38.2812,1092
38.3017,1032
38.3221,1101
38.3426,1109
38.3631,1028
38.3835,1078
38.404,1054
38.4244,1003
38.4449,1120
38.4654,1088
38.4858,1090
38.5063,1181
38.5268,1104
38.5472,1066
38.5677,1074
38.5882,1139
38.6086,1059
38.6291,1065
38.6496,1103
38.67,1048
38.6905,1075
38.7109,1060
38.7314,1064
38.7519,1070
38.7723,1097
38.7928,1058
38.8133,1065
38.8337,1042
38.8542,1081
38.8747,1060
38.8951,1046
38.9156,1060
38.936,1059
38.9565,1080
38.977,1057
38.9974,1091
39.0179,1036
39.0384,1064
39.0588,1045
39.0793,1018
39.0998,941
39.1202,1029
39.1407,1049
39.1611,1014
39.1816,996
39.2021,1010
39.2225,991
39.243,1019
39.2635,1087
39.2839,1017
39.3044,1072
39.3249,1036
39.3453,1079
39.3658,1028
39.3863,1021
39.4067,996
39.4272,1029
39.4476,1052
39.4681,1033
39.4886,958
39.509,1029
39.5295,1104
39.55,1047
39.5704,1010
39.5909,1003
39.6114,1021
39.6318,1006
39.6523,1059
39.6727,1036
39.6932,1046
39.7137,1030
39.7341,1026
39.7546,1024
39.7751,1027
39.7955,1008
39.816,983
39.8365,1056
39.8569,1011
39.8774,1002
39.8978,1073
39.9183,1022
39.9388,1011
39.9592,1054
39.9797,1056
40.0002,938
40.0206,1033
40.0411,1025
40.0616,1072
40.082,1029
40.1025,988
40.123,939
40.1434,1007
40.1639,1010
40.1843,1007
40.2048,1017
40.2253,961
40.2457,1095
40.2662,1010
40.2867,1037
40.3071,977
40.3276,991
40.3481,1014
40.3685,952
40.389,991
40.4094,1031
40.4299,1026
40.4504,1028
40.4708,1001
40.4913,1032
40.5118,1003
40.5322,1009
40.5527,981
40.5732,1055
40.5936,1023
40.6141,1015
40.6345,994
40.655,1030
40.6755,992
40.6959,1015
40.7164,975
40.7369,1036
40.7573,985
40.7778,1036
40.7983,1047
40.8187,989
40.8392,989
40.8597,1011
40.8801,1061
40.9006,1004
40.921,1053
40.9415,1031
40.962,1065
40.9824,954
41.0029,1017
41.0234,1012
41.0438,1015
41.0643,1017
41.0848,1036
41.1052,950
41.1257,938
41.1461,1009
41.1666,1002
41.1871,974
41.2075,1032
41.228,993
41.2485,1019
41.2689,1050
41.2894,931
41.3099,957
41.3303,1018
41.3508,1011
41.3712,1009
41.3917,1009
41.4122,993
41.4326,973
41.4531,1020
41.4736,1069
41.494,1023
41.5145,982
41.535,1039
41.5554,998
41.5759,1012
41.5964,1020
41.6168,969
41.6373,1033
41.6577,960
41.6782,1017
41.6987,958
41.7191,1042
41.7396,1027
41.7601,1136
41.7805,1071
41.801,1012
41.8215,1020
41.8419,1012
41.8624,1062
41.8828,1003
41.9033,989
41.9238,1010
41.9442,1019
41.9647,1064
41.9852,1005
42.0056,1055
42.0261,1055
42.0466,1040
42.067,1065
42.0875,1065
42.1079,1087
42.1284,1036
42.1489,1022
42.1693,1044
42.1898,1004
42.2103,988
42.2307,1020
42.2512,1057
42.2717,1035
42.2921,1059
42.3126,1024
42.3331,1067
42.3535,1021
42.374,1041
42.3944,1082
42.4149,1094
42.4354,1042
42.4558,1134
42.4763,1028
42.4968,1113
42.5172,1040
42.5377,1062
42.5582,1123
42.5786,1117
42.5991,1179
42.6195,1147
42.64,1098
42.6605,1091
42.6809,1247
42.7014,1175
42.7219,1259
